date,fsi_variance_equal,fsi_std,p_calm,p_stress,p_crisis,hmm_stress_prob,combined_stress,combined_stress_norm,regime_realtime,early_warning,possible_false_alarm,agreement
2024-12-01,0.1607552213380299,-0.046383991672368216,0.9999999999996304,3.7012643493387195e-13,3.639734358185862e-77,3.7012643493387195e-13,-0.023191995835999044,0.3494493135475115,CALM,False,False,True
2025-01-01,0.1780448053992105,0.0006048498829343816,0.9999999999996304,3.754519262831055e-13,3.7768319247258086e-77,3.754519262831055e-13,0.0003024249416549168,0.35691014271577576,CALM,False,False,True
2025-02-01,0.2809706998770138,0.2803321429422361,0.9999999999996164,3.783800177073863e-13,7.412919050803205e-79,3.783800177073863e-13,0.14016607147130722,0.4013248905183997,CALM,False,False,True
2025-03-01,0.1923036141793475,0.03935678886344128,0.999999999999602,3.9328619045368214e-13,1.2416708975437427e-77,3.9328619045368214e-13,0.019678394431917285,0.3630631268520708,CALM,False,False,True
2025-04-01,0.2008755119512554,0.06265310095557429,0.999999999999588,4.0922097980514964e-13,2.241196300719569e-77,4.0922097980514964e-13,0.03132655047799175,0.366762085988263,CALM,False,False,True
2025-05-01,0.248115873432412,0.1910407968537783,0.9999999999995736,4.2388080181537626e-13,1.956083231693177e-79,4.2388080181537626e-13,0.0955203984271011,0.3871473228806474,CALM,False,False,True
2025-06-01,0.2545006750899616,0.20839311906043212,0.9999999999995453,4.505229653727466e-13,1.9166182574528987e-79,4.505229653727466e-13,0.10419655953044132,0.38990250277807764,CALM,False,False,True
2025-07-01,0.2578149220289297,0.21740042795457587,0.9999999999995168,4.822138129801306e-13,5.430306043348116e-79,4.822138129801306e-13,0.10870021397752905,0.39133267195656507,CALM,False,False,True
2025-08-01,0.2935912209840591,0.3146316185424496,0.9999999999995026,4.935348496531817e-13,1.6313354066738998e-78,4.935348496531817e-13,0.15731580927147157,0.40677091811867344,CALM,False,False,True
2025-09-01,0.3172240851968613,0.3788599370528208,0.99999999999946,5.330457916908132e-13,2.0409803332273831e-78,5.330457916908132e-13,0.1894299685266769,0.4169690097572384,CALM,False,False,True
2025-10-01,0.3130999355315261,0.36765151153552367,0.9999999999994174,5.815993153035977e-13,2.096653155295589e-78,5.815993153035977e-13,0.18382575576805263,0.4151893500494974,CALM,False,False,True
2025-11-01,0.3456980297979248,0.45624512264082373,0.9999999999993604,6.421555046377031e-13,2.179464137489912e-78,6.421555046377031e-13,0.22812256132073294,0.42925613220412295,CALM,False,False,True
2025-12-01,0.2907490169052124,0.3069072061646747,0.9999999999992752,7.182791987080318e-13,2.296550282252952e-78,7.182791987080318e-13,0.15345360308269648,0.40554444563570546,CALM,False,False,True
