model,varset,candidate_id,seq_length,units,dropout,learning_rate,epochs,batch_size,early_stopping_monitor,early_stopping_patience,seed_base,fold1_train_sequences,fold1_val_sequences,fold1_rmse,fold1_epochs,fold2_train_sequences,fold2_val_sequences,fold2_rmse,fold2_epochs,fold3_train_sequences,fold3_val_sequences,fold3_rmse,fold3_epochs,mean_validation_rmse,std_validation_rmse,mean_trained_epochs
LSTM,parsimonious,27,12,16,0.1,0.001,60,8,val_loss,10,42,27,39,2123.18944023946,44,66,39,787.4758806374537,60,105,39,977.4746400254778,15,1296.0466536341307,589.9993074669209,39.666666666666664
LSTM,parsimonious,28,12,16,0.1,0.001,60,16,val_loss,10,42,27,39,1220.8800938073905,60,66,39,739.9160330948746,24,105,39,940.0480842932988,25,966.9480703985213,197.2719170140782,36.333333333333336
LSTM,parsimonious,29,12,16,0.3,0.0005,60,8,val_loss,10,42,27,39,1546.2417486022325,60,66,39,1080.6816895959344,22,105,39,983.0613976330026,26,1203.3282786103898,245.72975166107014,36.0
LSTM,parsimonious,30,12,16,0.3,0.0005,60,16,val_loss,10,42,27,39,1972.9683690818172,60,66,39,937.7180678760416,60,105,39,1046.815388855522,40,1319.167275271127,464.44767129876334,53.333333333333336
LSTM,parsimonious,31,12,16,0.3,0.001,60,8,val_loss,10,42,27,39,1626.9356929573742,60,66,39,667.7553910912796,60,105,39,1014.2093437646437,23,1102.9668092710992,396.58133140994784,47.666666666666664
LSTM,parsimonious,32,12,16,0.3,0.001,60,16,val_loss,10,42,27,39,2110.8918269430787,60,66,39,851.2409535497912,60,105,39,1069.96068493694,18,1344.0311551432699,549.5550003954455,46.0
LSTM,parsimonious,33,12,32,0.1,0.0005,60,8,val_loss,10,42,27,39,1751.9735729796225,60,66,39,975.3224842290323,15,105,39,1010.257002836284,23,1245.8510200149797,358.1667527024863,32.666666666666664
LSTM,parsimonious,34,12,32,0.1,0.0005,60,16,val_loss,10,42,27,39,1072.8518604813312,60,66,39,809.727282718165,18,105,39,935.0450721964874,30,939.2080717986613,107.46048507870817,36.0
LSTM,parsimonious,35,12,32,0.1,0.001,60,8,val_loss,10,42,27,39,2138.569595079427,60,66,39,702.1029357165423,43,105,39,978.0462697898579,16,1272.9062668619424,622.3964059827165,39.666666666666664
LSTM,parsimonious,36,12,32,0.1,0.001,60,16,val_loss,10,42,27,39,808.709669682595,60,66,39,670.782890426188,52,105,39,930.7560258475303,15,803.416195318771,106.1995713686618,42.333333333333336
LSTM,parsimonious,37,12,32,0.3,0.0005,60,8,val_loss,10,42,27,39,1172.586580600616,60,66,39,938.6693741889455,19,105,39,1022.3550172417492,19,1044.5369906771036,96.77584003932343,32.666666666666664
LSTM,parsimonious,38,12,32,0.3,0.0005,60,16,val_loss,10,42,27,39,870.5011773219072,60,66,39,920.328373882664,25,105,39,1018.3913095187941,26,936.4069535744551,61.437031959463035,37.0
