model,varset,candidate_id,seq_length,units,dropout,learning_rate,epochs,batch_size,early_stopping_monitor,early_stopping_patience,seed_base,fold1_train_sequences,fold1_val_sequences,fold1_rmse,fold1_epochs,fold2_train_sequences,fold2_val_sequences,fold2_rmse,fold2_epochs,fold3_train_sequences,fold3_val_sequences,fold3_rmse,fold3_epochs,mean_validation_rmse,std_validation_rmse,mean_trained_epochs
LSTM,pca,25,12,16,0.1,0.0005,60,8,val_loss,10,42,14,23,834.7727297774869,60,37,23,881.6969147810656,12,60,23,1038.4725891261398,16,918.3140778948974,87.0977253837855,29.333333333333332
LSTM,pca,26,12,16,0.1,0.0005,60,16,val_loss,10,42,14,23,1061.2420373611812,60,37,23,841.0325722100364,19,60,23,992.9298040063959,27,965.0681378592045,92.03353180919616,35.333333333333336
LSTM,pca,27,12,16,0.1,0.001,60,8,val_loss,10,42,14,23,971.4455681701784,40,37,23,967.1193885095895,12,60,23,998.4209022330101,15,978.9952863042594,13.849064307079264,22.333333333333332
LSTM,pca,28,12,16,0.1,0.001,60,16,val_loss,10,42,14,23,907.9700688737403,60,37,23,960.5610386412902,11,60,23,943.0058974416374,24,937.1790016522227,21.861946561371017,31.666666666666668
LSTM,pca,29,12,16,0.3,0.0005,60,8,val_loss,10,42,14,23,1073.6861710875805,26,37,23,1066.6739596808552,11,60,23,1131.083700262141,17,1090.4812770101923,28.85261810940729,18.0
LSTM,pca,30,12,16,0.3,0.0005,60,16,val_loss,10,42,14,23,932.6597852296087,48,37,23,1359.5876410455714,11,60,23,1137.619498890957,50,1143.288975055379,174.33866608393384,36.333333333333336
LSTM,pca,31,12,16,0.3,0.001,60,8,val_loss,10,42,14,23,942.3231923151363,53,37,23,739.2317159567481,12,60,23,1067.4317846183615,19,916.3288976300819,135.2420023131424,28.0
LSTM,pca,32,12,16,0.3,0.001,60,16,val_loss,10,42,14,23,928.7607005475265,60,37,23,795.9281527900991,11,60,23,1003.1156044941005,24,909.2681526105754,85.69959006010559,31.666666666666668
LSTM,pca,33,12,32,0.1,0.0005,60,8,val_loss,10,42,14,23,886.3284122604849,60,37,23,981.6778507112086,11,60,23,1052.2747784330725,18,973.4270138015887,67.99807028513622,29.666666666666668
LSTM,pca,34,12,32,0.1,0.0005,60,16,val_loss,10,42,14,23,963.8008676235498,60,37,23,810.8105485658459,11,60,23,928.9119796667518,18,901.1744652853826,65.46519028912495,29.666666666666668
LSTM,pca,35,12,32,0.1,0.001,60,8,val_loss,10,42,14,23,952.8943443706368,19,37,23,844.5444153460428,11,60,23,930.8267774442021,14,909.4218457202938,46.75150697384001,14.666666666666666
LSTM,pca,36,12,32,0.1,0.001,60,16,val_loss,10,42,14,23,855.8737288826264,36,37,23,1104.4033166599095,11,60,23,935.3927087438699,17,965.223251428802,103.63118886334276,21.333333333333332
LSTM,pca,37,12,32,0.3,0.0005,60,8,val_loss,10,42,14,23,920.1413425885767,30,37,23,846.1332159477926,16,60,23,1245.9089066431475,14,1004.0611550598388,173.66068814721405,20.0
LSTM,pca,38,12,32,0.3,0.0005,60,16,val_loss,10,42,14,23,871.8882344887337,46,37,23,896.5274862793831,11,60,23,989.039269341708,21,919.1516633699416,50.43134794648669,26.0
LSTM,pca,39,12,32,0.3,0.001,60,8,val_loss,10,42,14,23,835.9177718419868,26,37,23,817.4749517061367,11,60,23,1006.3770557460967,14,886.5899264314068,85.03627330236404,17.0
LSTM,pca,40,12,32,0.3,0.001,60,16,val_loss,10,42,14,23,994.0020880842933,28,37,23,887.1668299065367,15,60,23,966.202661197223,15,949.123859729351,45.256360084605554,19.333333333333332
LSTM,pca,41,12,64,0.1,0.0005,60,8,val_loss,10,42,14,23,978.751431950348,35,37,23,770.4041075583253,60,60,23,1009.0169642149259,12,919.3908345745331,106.07162432704314,35.666666666666664
LSTM,pca,42,12,64,0.1,0.0005,60,16,val_loss,10,42,14,23,898.1739742556937,32,37,23,850.0229944093218,12,60,23,937.4242544826467,18,895.207074382554,35.743036027960954,20.666666666666668
LSTM,pca,43,12,64,0.1,0.001,60,8,val_loss,10,42,14,23,929.4825600110134,22,37,23,810.467867507707,39,60,23,925.8341177625368,12,888.5948484270857,55.26419361209601,24.333333333333332
LSTM,pca,44,12,64,0.1,0.001,60,16,val_loss,10,42,14,23,927.6183428504712,39,37,23,748.1511743700069,46,60,23,981.3266652535261,11,885.6987274913348,99.7016984177836,32.0
LSTM,pca,45,12,64,0.3,0.0005,60,8,val_loss,10,42,14,23,968.8146981244255,24,37,23,833.4271294722947,24,60,23,956.4765655837297,12,919.5727977268166,61.12208819464832,20.0
LSTM,pca,46,12,64,0.3,0.0005,60,16,val_loss,10,42,14,23,979.4711264413016,27,37,23,776.1595398323932,12,60,23,964.0476596686617,15,906.5594419807854,92.42139612324411,18.0
LSTM,pca,47,12,64,0.3,0.001,60,8,val_loss,10,42,14,23,913.3596615135073,41,37,23,753.3185871000576,45,60,23,1027.851109910494,11,898.1764528413529,112.59047884361664,32.333333333333336
LSTM,pca,48,12,64,0.3,0.001,60,16,val_loss,10,42,14,23,921.8868563160785,22,37,23,954.9708358339218,11,60,23,974.4253515697864,14,950.4276812399289,21.687993008877218,15.666666666666666
