model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,parsimonious,73,400,4,0.1,0.8,0.8,1,42,146.43207781794908,924.0786843619064,992.1070337004082,687.5392652934212,383.6271673831613
XGBoost,parsimonious,74,400,4,0.1,0.8,0.8,3,42,226.71958131148963,911.4651868360647,948.4503352942849,695.5450344806131,331.85333553247546
XGBoost,parsimonious,75,400,4,0.1,0.8,1.0,1,42,140.34475987907413,939.8092404001342,969.7715127046715,683.3085043279599,384.12815160210886
XGBoost,parsimonious,76,400,4,0.1,0.8,1.0,3,42,229.52099954131268,906.8627505876856,927.1828696499712,687.8555399263231,324.19761462430125
XGBoost,parsimonious,77,400,4,0.1,1.0,0.8,1,42,141.63156157169962,974.8923837272265,1030.9948373758043,715.8395942249102,406.67187420077016
XGBoost,parsimonious,78,400,4,0.1,1.0,0.8,3,42,216.7703996655636,922.6501192921775,980.2455540212538,706.5553576596649,347.12753404032026
XGBoost,parsimonious,79,400,4,0.1,1.0,1.0,1,42,137.44443149407363,1003.7797450216428,1032.9617377785885,724.7286380981017,415.443499303422
XGBoost,parsimonious,80,400,4,0.1,1.0,1.0,3,42,218.69899872428851,903.1335186973959,1134.6200991550945,752.1508721922596,388.86560250114337
XGBoost,parsimonious,81,400,5,0.03,0.8,0.8,1,42,145.89328296701913,943.8506781699772,958.196598203393,682.6468531134632,379.5872738067988
XGBoost,parsimonious,82,400,5,0.03,0.8,0.8,3,42,215.16844084548927,917.217298617178,926.3364193399663,686.2407196008779,333.11920634064825
XGBoost,parsimonious,83,400,5,0.03,0.8,1.0,1,42,135.8746636277798,947.5191583296926,937.5941543840592,673.6626587805105,380.2951241896442
XGBoost,parsimonious,84,400,5,0.03,0.8,1.0,3,42,213.5391730858595,920.0973138147218,935.1451869654647,689.5938912886819,336.67757143788356
XGBoost,parsimonious,85,400,5,0.03,1.0,0.8,1,42,149.65530119792624,979.1926752079248,977.0738321210292,701.9739361756268,390.54921011461926
XGBoost,parsimonious,86,400,5,0.03,1.0,0.8,3,42,204.8387550026127,921.1545440044623,1011.4700522766767,712.4877837612506,360.8507309662435
XGBoost,parsimonious,87,400,5,0.03,1.0,1.0,1,42,137.62474581660646,999.2896641651715,989.9342912380769,708.9495670732849,404.0057089436839
XGBoost,parsimonious,88,400,5,0.03,1.0,1.0,3,42,204.8678808484604,919.6798338769852,1105.9991643174787,743.5156263476414,388.40251331358235
XGBoost,parsimonious,89,400,5,0.1,0.8,0.8,1,42,144.88930377802947,913.7880279187822,991.2405240779993,683.305951924937,382.0288711093587
XGBoost,parsimonious,90,400,5,0.1,0.8,0.8,3,42,223.64955982540386,913.6608409768453,925.4724665435215,687.5942891152569,328.09390170245274
XGBoost,parsimonious,91,400,5,0.1,0.8,1.0,1,42,141.90939574300515,947.3002492524483,973.7168945203283,687.642179838594,386.042021472917
XGBoost,parsimonious,92,400,5,0.1,0.8,1.0,3,42,228.84492906855039,911.6508397054482,961.0601085514993,700.518625775166,334.13308335216635
XGBoost,parsimonious,93,400,5,0.1,1.0,0.8,1,42,141.61601937848545,962.3143041566166,979.1796384428503,694.3699873259842,390.9167189111809
XGBoost,parsimonious,94,400,5,0.1,1.0,0.8,3,42,214.7047082503467,933.9857229711212,982.5551871221511,710.4152061145396,351.0806379181798
XGBoost,parsimonious,95,400,5,0.1,1.0,1.0,1,42,137.85721827788078,1011.7678721953332,963.0217616916424,704.2156173882854,400.9700096885758
XGBoost,parsimonious,96,400,5,0.1,1.0,1.0,3,42,213.3401479744935,910.7906463897108,1076.6945008795815,733.6084317479286,374.0680308527365
