date,horizon,ARIMA,BVAR,BoPIdentity,LSTM,LocalLevelSV,MS-VAR,MS-VECM,Naive,VECM,XGB-Quantile,XGBoost,varset,split_label,train_end,valid_end
2024-10-01,6,2.9265168686033135e-10,7.331273269133689e-10,1.3125832470429126e-12,1.3125832470429126e-12,1.239039664255415e-09,0.8439923302793997,0.15598573850968636,4.7385993818418304e-09,8.303983149738409e-10,2.192334620427255e-05,2.826827400003515e-11,parsimonious,baseline,2019-12-01,2022-12-01
2024-11-01,6,4.874954270592453e-10,8.657879876024347e-10,1.3139274540632402e-12,1.3139274540632402e-12,1.2900474494066438e-09,0.8973052630094785,0.10267715550268756,4.886007592307083e-09,1.2048035701679501e-09,1.7572685346315242e-05,6.571767029534155e-11,parsimonious,baseline,2019-12-01,2022-12-01
2024-12-01,6,3.915877127107307e-10,4.3929365268897724e-10,1.3145557353773004e-12,1.3145557353773004e-12,6.140797939195282e-10,0.9181518962109605,0.0818388437225793,2.2912392810626017e-09,8.331716001823714e-10,9.2554069558117e-06,8.750325546125356e-11,parsimonious,baseline,2019-12-01,2022-12-01
2025-01-01,6,1.6946020086161603e-10,1.342641662133717e-10,1.3152456604383095e-12,1.3152456604383095e-12,1.7255210559139674e-10,0.9386055522297434,0.061390999048646776,6.512524454536141e-10,3.208852132396474e-10,3.447213254691928e-06,5.731051141065759e-11,parsimonious,baseline,2019-12-01,2022-12-01
2025-02-01,6,7.385351118603127e-11,3.788296575117989e-11,1.3160771791806235e-12,1.3160771791806235e-12,4.4148337186315984e-11,0.9601717501024734,0.039827071030887076,1.6883226565133515e-10,1.1867946164620494e-10,1.1783861609923173e-06,3.444990669700591e-11,parsimonious,baseline,2019-12-01,2022-12-01
2025-03-01,6,2.4403028027871942e-11,7.118563110759405e-12,1.3159074817291177e-12,1.3159074817291177e-12,7.2024445246416934e-12,0.95603176731526,0.0439677122305991,2.785765121099102e-11,3.116396842384619e-11,5.203332842435785e-07,2.047919005394936e-11,parsimonious,baseline,2019-12-01,2022-12-01
2025-04-01,6,9.349249173591679e-12,1.3167145841067623e-12,1.3167145841067623e-12,1.3167145841067623e-12,1.3167145841067623e-12,0.974510014885064,0.025489801647617556,1.717015354320301e-12,5.267109562199292e-12,1.834350022801962e-07,1.0716007102469273e-11,parsimonious,baseline,2019-12-01,2022-12-01
2025-05-01,6,3.0414834323177434e-12,1.3163979689903987e-12,1.3163979689903987e-12,1.3163979689903987e-12,1.3163979689903987e-12,0.967623804325049,0.03237611351624168,1.3163979689903987e-12,1.3163979689903987e-12,8.214223813179409e-08,5.531373613911161e-12,parsimonious,baseline,2019-12-01,2022-12-01
2025-06-01,6,1.3159749998795434e-12,1.3159749998795434e-12,1.3159749998795434e-12,1.3159749998795434e-12,1.3159749998795434e-12,0.9576925022458196,0.04230745737354185,1.3159749998795434e-12,1.3159749998795434e-12,4.036781811012515e-08,3.6086470071340376e-12,parsimonious,baseline,2019-12-01,2022-12-01
2025-07-01,6,1.3157534422532016e-12,1.3157534422532016e-12,1.3157534422532016e-12,1.3157534422532016e-12,1.3157534422532016e-12,0.9521571881129254,0.04784278023631909,1.3157534422532016e-12,1.3157534422532016e-12,3.163918873409364e-08,2.356585709408345e-12,parsimonious,baseline,2019-12-01,2022-12-01
2025-08-01,6,1.7521562812863943e-12,1.720461601619242e-12,1.315490493618068e-12,1.8390746639203414e-12,1.8424454980621092e-12,0.9452874491729423,0.054712521375277656,1.830534662544538e-12,1.6351335277368403e-12,2.9437711708194638e-08,2.1331108477319027e-12,parsimonious,baseline,2019-12-01,2022-12-01
2025-09-01,6,2.0854144889028368e-12,1.960811150455412e-12,1.3152204474472162e-12,2.1298887778340816e-12,2.2081529545518943e-12,0.9378869573982844,0.062113016948017644,2.207608253430789e-12,1.8017301916339956e-12,2.5638240024437742e-08,1.7491836778829481e-12,parsimonious,baseline,2019-12-01,2022-12-01
2025-10-01,6,2.5086420257974817e-12,2.2029390402768802e-12,1.3150933123036655e-12,2.403689248223275e-12,2.6149630865740292e-12,0.9342792343396481,0.065720742998662,2.644209015642409e-12,2.0031420941270264e-12,2.2644316733894554e-08,1.6803618136211292e-12,parsimonious,baseline,2019-12-01,2022-12-01
2025-11-01,6,2.8272641906298816e-12,2.285821541853497e-12,1.3149714454943876e-12,2.384656061870502e-12,2.832935405852811e-12,0.9307452547031807,0.0692547275779203,2.9169959973779686e-12,2.0583436118622687e-12,1.7700753488001256e-08,1.5244914259878868e-12,parsimonious,baseline,2019-12-01,2022-12-01
2025-12-01,6,3.647235464419801e-12,2.650588558658271e-12,1.3147576486565529e-12,2.560529879047485e-12,3.4373236154045504e-12,0.9243627489924188,0.07563723293390646,3.63896189302466e-12,2.384082562885591e-12,1.805246193945713e-08,1.5793401865389429e-12,parsimonious,baseline,2019-12-01,2022-12-01
2026-01-01,6,3.594592228999171e-12,2.5926401320980944e-12,1.3146607910766729e-12,2.305674941987957e-12,3.3839607031295987e-12,0.9213930150845665,0.07860697470047025,3.559808115818614e-12,2.3273776872924225e-12,1.0194569925796939e-08,1.3146607910766729e-12,parsimonious,baseline,2019-12-01,2022-12-01
2026-02-01,6,4.6653871874467036e-12,3.375976185832743e-12,1.7235350948999125e-12,3.005831673423166e-12,4.3946633867847744e-12,0.9195916602456513,0.08040832750756408,4.620690506736639e-12,3.0338405744880546e-12,1.2220241187728295e-08,1.7235350948999125e-12,parsimonious,baseline,2019-12-01,2022-12-01
2026-03-01,6,6.039127635410478e-12,4.384204199308114e-12,2.2533638495586493e-12,3.908052622108275e-12,5.692089922388846e-12,0.9177712877491035,0.0822286975951947,5.9818456774950214e-12,3.9441027524341305e-12,1.4621245618709917e-08,2.2533638495586493e-12,parsimonious,baseline,2019-12-01,2022-12-01
2026-04-01,6,7.796877105614854e-12,5.678427543446751e-12,2.9380503362109054e-12,5.067538086669616e-12,7.3531810183764e-12,0.9159322371333394,0.08406774536018086,7.723658712857105e-12,5.1138143925250876e-12,1.746187003972706e-08,2.9380503362109054e-12,parsimonious,baseline,2019-12-01,2022-12-01
2026-05-01,6,1.004011145589568e-11,7.335384100687077e-12,3.820460305100631e-12,6.5536931457422674e-12,9.474309258768751e-12,0.9140748570109879,0.08592512211494685,9.94676589127918e-12,6.6129397126245405e-12,2.0816460946500632e-08,3.820460305100631e-12,parsimonious,baseline,2019-12-01,2022-12-01
2026-06-01,6,1.2895525220254986e-11,9.451190512585577e-12,4.954643614334909e-12,8.453550057614737e-12,1.217586902445003e-11,0.9121995046974072,0.08780047045756267,1.2776825516650662e-11,8.52920404771839e-12,2.477083883148225e-08,4.954643614334909e-12,parsimonious,baseline,2019-12-01,2022-12-01
2021-01-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-02-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-03-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-04-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-05-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-06-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-07-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-08-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-09-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-10-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-11-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2021-12-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2022-01-01,12,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,parsimonious,baseline,2019-12-01,2022-12-01
2022-02-01,12,0.12004314714050467,0.09161932616596227,0.1689798221752168,4.2119206092812346e-05,0.07902140539463416,0.16702748640191864,0.012952380043931124,0.13857138634113814,0.05492565949955283,0.010281153790795968,0.15653611384025262,parsimonious,baseline,2019-12-01,2022-12-01
2022-03-01,12,0.05946335674024069,0.025285320284377168,0.16596832394782854,3.228934124498302e-09,0.018151504771733884,0.342962076428442,0.004276006908353158,0.0595344836482467,0.010845570348769514,0.04825884558574001,0.26525450810733414,parsimonious,baseline,2019-12-01,2022-12-01
2022-04-01,12,0.011607677313729503,0.0018876623074261735,0.01199867021503884,1.3109934075817751e-12,0.0010130147298141054,0.8740917927612964,0.0016876346398632914,0.007370229309755539,0.0006171157482172554,0.06742212342840655,0.02230407954514147,parsimonious,baseline,2019-12-01,2022-12-01
2022-05-01,12,0.008953830160326491,0.0005838382629278193,0.0038088697025526544,1.3094005914185916e-12,0.00018476601530243884,0.7524962905881415,0.0010246673169759207,0.0033245275906635353,0.00012799608168540086,0.2229448174009945,0.00655039687912007,parsimonious,baseline,2019-12-01,2022-12-01
2022-06-01,12,0.0013162019114929479,4.350877284509578e-05,0.0013173440725854776,1.3104228773051817e-12,6.161973398055583e-06,0.7366421018034052,0.00021504631561144465,0.0002842304325941154,5.121723541261631e-06,0.2601610896364584,9.19335675748344e-06,parsimonious,baseline,2019-12-01,2022-12-01
2022-07-01,12,0.00016395789690880732,1.9374966092094767e-06,0.0006440292591166584,1.3090583504143514e-12,1.3971288710081488e-07,0.4939596988454364,6.480285888741232e-05,1.785695596470111e-05,1.5067485691020728e-07,0.5051410102498993,6.416048124450091e-06,parsimonious,baseline,2019-12-01,2022-12-01
2022-08-01,12,4.663326249267504e-06,2.0436586237720227e-08,0.00012580040775773737,1.3106590906303413e-12,6.979637197542559e-10,0.7355946019942488,3.3548732502271544e-05,2.6825776491974637e-07,1.053960005732729e-09,0.2642410667571377,2.8334518875354973e-08,parsimonious,baseline,2019-12-01,2022-12-01
2022-09-01,12,2.895263265868654e-07,2.421327952885674e-10,4.387520229383943e-05,1.3108833095910452e-12,3.008354062959355e-12,0.7508995264286162,3.1295148698109806e-05,3.926529925392803e-09,7.045377193500168e-12,0.24902500934662036,1.6741750169074725e-10,parsimonious,baseline,2019-12-01,2022-12-01
2022-10-01,12,8.569448310816931e-09,2.269537441523222e-12,2.1499562188708372e-05,1.3123013033469223e-12,1.3123013033469223e-12,0.8310729968855368,2.1016448472925395e-05,5.429780741832538e-11,1.3123013033469223e-12,0.1688844784725367,1.3123013033469223e-12,parsimonious,baseline,2019-12-01,2022-12-01
2022-11-01,12,1.3348437887267482e-10,1.3154963099949674e-12,6.6177179877481515e-06,1.3154963099949674e-12,1.3154963099949674e-12,0.9455293840143839,2.2285207307269503e-05,1.3154963099949674e-12,1.3154963099949674e-12,0.054441712918943654,1.3154963099949674e-12,parsimonious,baseline,2019-12-01,2022-12-01
2022-12-01,12,3.0749030457805443e-12,1.3162728667385405e-12,1.6849090694262299e-06,1.3162728667385405e-12,1.3162728667385405e-12,0.964849657037578,3.125806960425769e-05,1.3162728667385405e-12,1.3162728667385405e-12,0.03511739997277582,1.3162728667385405e-12,parsimonious,baseline,2019-12-01,2022-12-01
2023-01-01,12,1.3172251731614678e-12,1.3172251731614678e-12,1.3071667951052673e-09,1.3172251731614678e-12,1.3172251731614678e-12,0.9846925507037108,6.999854023881466e-05,1.3172251731614678e-12,1.3172251731614678e-12,0.015237449439662983,1.3172251731614678e-12,parsimonious,baseline,2019-12-01,2022-12-01
2023-02-01,12,2.7673472766811456e-12,2.774751882242911e-12,1.788160307346416e-12,2.8191328465010425e-12,2.7769785824108243e-12,0.9843332604741273,8.335363456011282e-05,2.7606602174822766e-12,2.3953889312742055e-12,0.01558338587081408,2.4159115087311947e-12,parsimonious,baseline,2019-12-01,2022-12-01
2023-03-01,12,5.0645251448658035e-12,4.814142098661209e-12,1.3171456313100235e-12,4.728635790861816e-12,5.057288185366852e-12,0.9832393177096056,9.163731268124396e-05,4.9380645384189345e-12,3.9230472783055825e-12,0.016669044944151647,3.718500852527651e-12,parsimonious,baseline,2019-12-01,2022-12-01
2023-04-01,12,1.6368458442318404e-11,1.9718782164548959e-10,1.309148002888681e-12,4.279363804829247e-12,2.3362163085049293e-10,0.4374094926526763,0.0011651952283609854,2.177757283381993e-10,1.726178465464151e-10,0.561425311124447,1.5135552102328888e-10,parsimonious,baseline,2019-12-01,2022-12-01
2023-05-01,12,1.6115372887987308e-12,3.124283016607724e-10,1.3120177342785025e-12,1.3120177342785025e-12,4.1599134749213717e-10,0.17837964368699577,0.0009522087973260794,3.7399230589647286e-10,2.964669314230449e-10,0.8206681458691356,2.434279446939916e-10,parsimonious,baseline,2019-12-01,2022-12-01
2023-06-01,12,1.3145086443636612e-12,3.273593950970794e-10,1.3145086443636612e-12,1.3145086443636612e-12,5.000330408520672e-10,0.08139237909676066,0.0005891462853582764,4.261829906183308e-10,3.6426020920462055e-10,0.9180184727202028,2.7589919960397265e-10,parsimonious,baseline,2019-12-01,2022-12-01
2023-07-01,12,1.3158229945138416e-12,3.20075063815575e-10,1.3158229945138416e-12,1.3158229945138416e-12,5.462391002378534e-10,0.044837585449708735,0.00044959157617595834,4.437953953008802e-10,4.0994018286369324e-10,0.9547128209700466,2.800714818530408e-10,parsimonious,baseline,2019-12-01,2022-12-01
