forecast_origin,forecast_date,horizon,split,actual,forecast_point,forecast_mean,forecast_lower_10,forecast_upper_90,error,abs_error,sq_error,in_interval
2021-11-01,2022-11-01,12,validation,1806.0,2655.188204888768,2639.0416418356667,541.8929312542496,4738.704329305101,-849.1882048887678,849.1882048887678,721120.6073222079,True
2021-12-01,2022-01-01,1,validation,2361.645210710561,1683.3672055285456,1696.4590952788683,979.4168363370277,2398.265630883164,678.2780051820155,678.2780051820155,460061.0523136942,True
2021-12-01,2022-03-01,3,validation,1917.0,1623.6641193625899,1633.121992093539,520.1302189743215,2737.7873123748345,293.3358806374101,293.3358806374101,86045.93886932492,True
2021-12-01,2022-06-01,6,validation,1854.0,1555.607349271754,1561.3123022389707,85.03707200796022,3094.649337873576,298.39265072824605,298.39265072824605,89038.17400862904,True
2021-12-01,2022-12-01,12,validation,1898.0,1474.4273099591092,1458.0166070917373,-697.7216696061274,3680.6953684295827,423.57269004089085,423.57269004089085,179413.8237484766,True
2022-01-01,2022-02-01,1,validation,2311.250466948733,3000.5505878828512,3013.8050477348115,2286.8956403342,3725.358499907838,-689.3001209341182,689.3001209341182,475134.65671979,True
2022-01-01,2022-04-01,3,validation,1812.0,3200.080435579342,3208.7827234643523,2104.4507586471254,4300.276349608667,-1388.080435579342,1388.080435579342,1926767.295638136,False
2022-01-01,2022-07-01,6,validation,1817.0,3470.8690307918864,3475.138587808334,2027.6728674791,4969.061410535834,-1653.8690307918864,1653.8690307918864,2735282.771012494,False
2022-01-01,2023-01-01,12,validation,2121.0,3949.0028507925185,3931.6068545563658,1880.0364669907278,5999.958511565492,-1828.0028507925185,1828.0028507925185,3341594.4225055748,True
2022-02-01,2022-03-01,1,validation,1917.0,2561.6855986020555,2575.793507138718,1840.5547251589205,3289.1899274172038,-644.6855986020555,644.6855986020555,415619.52104489063,True
2022-02-01,2022-05-01,3,validation,1887.0,2604.4330784139197,2614.0252190036967,1520.5534565136509,3706.262149474815,-717.4330784139197,717.4330784139197,514710.2220024734,True
2022-02-01,2022-08-01,6,validation,1717.0,2711.420377404957,2717.4400991981975,1261.5695725755154,4208.551871316198,-994.420377404957,994.420377404957,988871.8869982171,True
2022-02-01,2023-02-01,12,validation,2219.0,2933.5052267177607,2920.450428043292,848.858136720418,5022.924123084916,-714.5052267177607,714.5052267177607,510517.71900699864,True
2022-03-01,2022-04-01,1,validation,1812.0,2316.5724939500365,2330.647189781472,1595.8752677641057,3040.4523919167154,-504.57249395003646,504.57249395003646,254593.40165095957,True
2022-03-01,2022-06-01,3,validation,1854.0,2375.7932428519325,2385.6186522942303,1290.8838388836307,3470.341715802748,-521.7932428519325,521.7932428519325,272268.18828593584,True
2022-03-01,2022-09-01,6,validation,1779.0,2441.3821915010667,2447.6842773157646,1001.9241848125183,3946.3226105977596,-662.3821915010667,662.3821915010667,438750.1676177558,True
2022-03-01,2023-03-01,12,validation,2694.0,2576.3550090776816,2563.826654226059,500.4507095534647,4671.733602581539,117.64499092231836,117.64499092231836,13840.343889112368,True
2022-04-01,2022-05-01,1,validation,1887.0,1994.762496966511,2008.8178590279977,1276.3923088083532,2719.265194829856,-107.76249696651098,107.76249696651098,11612.755752457288,True
2022-04-01,2022-07-01,3,validation,1817.0,1966.660809036196,1976.497298750185,879.2490292653479,3060.2184314555875,-149.66080903619604,149.66080903619604,22398.357761368738,True
2022-04-01,2022-10-01,6,validation,1705.0,1932.73453853255,1938.9360784681521,493.6459636899934,3448.4436457793054,-227.73453853255,227.73453853255,51863.020040633506,True
2022-04-01,2023-04-01,12,validation,2761.0,1888.056789082534,1875.0412050037191,-209.65593326149715,4013.4971959882505,872.9432109174661,872.9432109174661,762029.8494868957,True
2022-05-01,2022-06-01,1,validation,1854.0,1803.1384253243734,1817.1317252581387,1087.1301352229489,2523.1187931794,50.86157467562657,50.86157467562657,2586.899778484338,True
2022-05-01,2022-08-01,3,validation,1717.0,1768.5300425763837,1778.0532170360577,677.6698022373597,2858.640936577284,-51.53004257638372,51.53004257638372,2655.345287923919,True
