date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,usd_lkr,target_diff1,target_log,target_log_diff1,target_pct_change,split
2016-12-01,6019.035611001512,859.0316990634382,1816.0953106251125,684.6037351582894,148.8152,374.90250909112456,8.70268232796182,0.06431043236315048,6.642339971823663,train
2017-01-01,5453.161533649116,864.7176173932837,1798.9439527053685,670.2874237389387,149.8342,-565.874077352396,8.603950817382804,-0.0987315105790163,-9.401407699235055,train
2017-02-01,5634.658678738561,867.8069877581088,1611.159888432676,598.086845291198,150.8721,181.49714508944544,8.63669185298691,0.03274103560410602,3.328292110356612,train
2017-03-01,5117.259154753076,1041.818219027803,1869.3224849354765,643.058386094087,151.5048,-517.3995239854858,8.54037425336064,-0.09631759962626951,-9.182446594996186,train
2017-04-01,5048.0818935876005,794.6621201873861,1603.8822114429377,487.94389290657216,151.862,-69.1772611654751,8.5267636270664,-0.013610626294241257,-1.3518420520332808,train
2017-05-01,6759.704093553758,841.2448575017796,1724.7493989305217,600.7025576092499,152.3909,1711.6221999661575,8.818734394936003,0.2919707678696035,33.90638733774052,train
2017-06-01,6959.025226455214,987.3032456286518,1540.9314766078398,590.8851105181104,152.8082,199.3211329014557,8.847794689849806,0.02906029491380302,2.9486665413584356,train
2017-07-01,6710.485696665525,1015.1819586445046,1591.1295797476996,629.2901463776334,153.5875,-248.53952978968846,8.811426611349935,-0.036368078499871004,-3.5714704531440433,train
2017-08-01,7693.548007249217,1000.642691482216,1856.9005983045893,599.8838418158387,153.0978,983.0623105836921,8.948137335453167,0.13671072410323148,14.64964467582699,train
2017-09-01,7279.835590729757,1011.0255494559292,1666.6539924369974,537.7758451288071,152.8125,-413.71241651946,8.892863557244748,-0.05527377820841828,-5.377394358618948,train
2017-10-01,7500.7921236637585,975.579814448642,1727.2388159062466,546.2579003477305,153.4905,220.9565329340012,8.922763910435874,0.029900353191125717,3.0351857563290396,train
2017-11-01,7335.117235752753,940.93201101918,1940.383346169578,588.3876285496235,153.5925,-165.6748879110055,8.900428673510397,-0.022335236925476565,-2.208765223453246,train
2017-12-01,7958.65303040954,1019.5029136734678,2048.499456865169,671.3964371688033,153.1085,623.5357946567874,8.982015047234334,0.08158637372393684,8.500692962582178,train
2018-01-01,7669.98,965.3701425744972,2014.4907176540169,729.3548966460536,153.7452,-288.67303040954084,8.945069286795972,-0.036945760438362285,-3.62715938622451,train
2018-02-01,7922.369345490189,915.650345321389,1977.993103576892,571.5002263413448,154.7737,252.38934549018904,8.97744559985322,0.03237631305724875,3.2906128241558585,train
2018-03-01,7319.749709742925,1107.6632607514034,1978.5218342628232,677.6961157626178,155.6386,-602.6196357472636,8.898331413712704,-0.0791141861405169,-7.606558208376201,train
2018-04-01,9935.768813397091,795.0546716824356,1793.6278037230777,541.1780994671594,156.1857,2616.0191036541664,9.20389653632981,0.30556512261710544,35.73918791474693,train
2018-05-01,8808.916585622243,923.7576297403432,1856.95795512956,580.4019949922705,157.7527,-1126.8522277748489,9.083519735842831,-0.1203768004869783,-11.3413692381352,train
2018-06-01,9267.017122111823,1024.3682844569344,1819.4798365092515,523.6405184273614,158.9619,458.1005364895809,9.134216829228432,0.05069709338560102,5.200418599005507,train
2018-07-01,8429.671933126869,1073.1643006891263,1754.4651588528998,619.2971944301521,159.3548,-837.3451889849548,9.039513133646325,-0.09470369558210656,-9.035757439003579,train
2018-08-01,8584.53782202296,1037.3606140149984,1887.11736795169,534.1970182243219,160.3217,154.86588889609084,9.057717936357985,0.018204802711659696,1.8371520282717047,train
2018-09-01,7164.0793420685,1055.2146080861978,1768.4101377475615,499.5686117071165,165.2237,-1420.458479954459,8.876834838226547,-0.18088309813143866,-16.54670885496461,train
2018-10-01,7903.305318148267,979.096089464566,1882.473484503176,599.092454277415,171.3614,739.225976079767,8.975036345654768,0.09820150742822165,10.318506269729966,train
2018-11-01,7005.322478512801,979.5512009150912,1764.6054092036552,555.0423235268939,176.7275,-897.982839635466,8.854425493187996,-0.12061085246677195,-11.362117538005755,train
