date,d_gross_reserves_usd_m,d_exports_usd_m,d_imports_usd_m,d_remittances_usd_m,d_usd_lkr,ect_lag1,split,regime_init_high_vol,regime_threshold
2016-09-01,-143.2225491665322,31.56765915320932,-140.82749590794492,-40.41198793055844,0.2546000000000106,-1722.2681369834918,train,0,622.3001610473664
2016-10-01,-401.8758900792909,-42.83444876031672,215.26126323463518,29.656695691631853,1.3018999999999892,-2384.582330622394,train,0,622.3001610473664
2016-11-01,-409.7095079356641,-45.39258011186189,8.55785791032713,-40.15365674103157,1.0500000000000114,-1926.3053410762689,train,0,622.3001610473664
2016-12-01,374.90250909112456,49.38115785780735,84.01508492000767,117.22533361534192,1.005200000000002,-1480.6710967875472,train,0,622.3001610473664
2017-01-01,-565.874077352396,5.685918329845549,-17.151357919743987,-14.316311419350654,1.0190000000000055,-2071.2751561473474,train,0,622.3001610473664
2017-02-01,181.49714508944544,3.089370364825072,-187.78406427269238,-72.20057844774078,1.0378999999999792,-2668.4180936100756,train,0,622.3001610473664
2017-03-01,-517.3995239854858,174.01123126969424,258.1625965028004,44.97154080288908,0.6326999999999998,-2506.4818872827136,train,0,622.3001610473664
2017-04-01,-69.1772611654751,-247.15609884041692,-265.44027349253884,-155.11449318751488,0.35720000000000596,-5495.395042739904,train,0,622.3001610473664
2017-05-01,1711.6221999661575,46.58273731439351,120.86718748758403,112.75866470267772,0.528899999999993,-1630.1714225757041,train,1,622.3001610473664
2017-06-01,199.3211329014557,146.05838812687216,-183.81792232268185,-9.817447091139456,0.41730000000001155,-801.5302195712787,train,1,622.3001610473664
2017-07-01,-248.53952978968846,27.87871301585278,50.19810313985977,38.40503585952297,0.7793000000000063,-3004.5308571770593,train,1,622.3001610473664
2017-08-01,983.0623105836921,-14.539267162288525,265.77101855688966,-29.40630456179474,-0.48969999999999914,-3707.1278908355193,train,1,622.3001610473664
2017-09-01,-413.71241651946,10.382857973713158,-190.24660586759182,-62.10799668703157,-0.28530000000000655,-2125.648220749771,train,1,622.3001610473664
2017-10-01,220.9565329340012,-35.445735007287226,60.58482346924916,8.482055218923392,0.6779999999999973,-2746.486459105307,train,1,622.3001610473664
2017-11-01,-165.6748879110055,-34.64780342946199,213.1445302633315,42.129728201893045,0.10200000000000387,-1915.9893654508414,train,0,622.3001610473664
2017-12-01,623.5357946567874,78.5709026542878,108.11611069559103,83.00880861917983,-0.48400000000000887,-1425.1659206129623,train,0,622.3001610473664
2018-01-01,-288.67303040954084,-54.13277109897058,-34.00873921115226,57.958459477250244,0.6367000000000189,-2135.3001783683294,train,0,622.3001610473664
2018-02-01,252.38934549018904,-49.719797253108254,-36.49761407712481,-157.85467030470875,1.0284999999999798,-1783.3446105024511,train,0,622.3001610473664
2018-03-01,-602.6196357472636,192.01291543001446,0.5287306859311229,106.19588942127291,0.8649000000000058,-319.7595975839869,train,0,622.3001610473664
2018-04-01,2616.0191036541664,-312.60858906896783,-184.89403053974547,-136.51801629545832,0.5471000000000004,-4136.949473520389,train,1,622.3001610473664
2018-05-01,-1126.8522277748489,128.7029580579076,63.3301514064824,39.22389552511106,1.5670000000000073,3459.094855506264,train,1,622.3001610473664
2018-06-01,458.1005364895809,100.61065471659117,-37.47811862030858,-56.76147656490912,1.2092000000000098,376.0025989227161,train,1,622.3001610473664
2018-07-01,-837.3451889849548,48.79601623219196,-65.01467765635175,95.65667600279073,0.39289999999999736,-541.7461388620007,train,1,622.3001610473664
2018-08-01,154.86588889609084,-35.8036866741279,132.6522090987903,-85.10017620583017,0.9668999999999812,-2465.280155450472,train,1,622.3001610473664
2018-09-01,-1420.458479954459,17.853994071199395,-118.70723020412856,-34.62840651720546,4.902000000000015,-1330.3368132673859,train,1,622.3001610473664
2018-10-01,739.225976079767,-76.11851862163178,114.06334675561448,99.52384257029848,6.137699999999995,-2897.452731872699,train,1,622.3001610473664
2018-11-01,-897.982839635466,0.4551114505251235,-117.8680752995208,-44.05013075052102,5.366099999999989,-949.0980422983342,train,1,622.3001610473664
2018-12-01,-86.10583936427429,53.83190753657914,-30.023932207841654,29.407775062993096,3.3519000000000005,-1684.0282871061595,train,1,622.3001610473664
2019-01-01,-767.0204303957535,4.763742337355325,-79.12272048097157,-39.12459931044884,1.5230999999999995,-2602.024161101216,train,1,622.3001610473664
2019-02-01,-117.04119881111546,-57.026966979349595,-223.062445230192,-44.83333660795921,-3.2081000000000017,-3368.8776390724997,train,1,622.3001610473664
2019-03-01,1594.0869310657781,155.7424216493779,296.6472511226609,70.93884694552304,-0.2991999999999848,-2847.7670448667996,train,1,622.3001610473664
2019-04-01,-415.2698835102801,-338.7567032187095,-133.47064045307093,-17.738967573480863,-3.451999999999998,-3507.974980313627,train,1,622.3001610473664
2019-05-01,-491.3594277080929,162.91417079628036,188.12168896047842,8.42810723876812,1.5067999999999984,1037.6310613667006,train,1,622.3001610473664
2019-06-01,2142.371893330249,122.93465376369716,-383.85067614744503,-25.49256471402657,0.3135000000000048,-1701.1897420446944,train,1,622.3001610473664
