date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,usd_lcy,m2_lcy_m,country,country_code,trade_balance_usd_m,m2_usd_m,reserve_change_usd_m,reserve_change_pct
2008-06-01,11189.757473651,1905.445030297093,4017.270055309636,68.2808,5643389.262,pakistan,PAK,-2111.825025012543,82649.72381694416,118.91342655333028,1.0741134645872341
2008-07-01,10344.10737981029,1872.47247008477,3535.806066884779,71.4908,5548453.616,pakistan,PAK,-1663.3335968000088,77610.73615066556,-845.6500938407098,-7.557358556090232
2008-08-01,8665.543665260688,1558.509871774237,3447.233448682869,76.1052,5564043.814,pakistan,PAK,-1888.7235769086321,73109.90331803872,-1678.563714549602,-16.22724564737056
2008-09-01,7457.3843443022015,1768.187662596265,3797.679870905677,78.0355,5647539.319991,pakistan,PAK,-2029.492208309412,72371.41198545534,-1208.1593209584862,-13.94210643472813
2008-10-01,6185.245653877162,1476.956272794035,3464.371164689628,81.6232,5599058.051,pakistan,PAK,-1987.4148918955932,68596.40458840133,-1272.1386904250394,-17.058778677499898
2008-11-01,8446.094905117572,1525.621624635042,2714.270023696771,78.8237,5676008.686,pakistan,PAK,-1188.6483990617292,72008.90957922554,2260.84925124041,36.552295216006804
2008-12-01,9024.013987182108,1253.935438890016,2121.0209889736952,79.098,5794143.796,pakistan,PAK,-867.0855500836792,73252.72188930189,577.9190820645363,6.842441253109399
2009-01-01,9548.437134593512,1343.041869326318,2522.912747528656,78.9782,5768406.727,pakistan,PAK,-1179.870878202338,73037.96145012167,524.423147411404,5.811417714514899
2009-02-01,9536.068646650154,1247.352314446033,2118.9349477456108,79.8686,5837173.928,pakistan,PAK,-871.5826332995778,73084.71574561216,-12.36848794335856,-0.12953416113039573
2009-03-01,9376.482389283157,1312.439461749203,2355.924711727069,80.441,5926101.692,pakistan,PAK,-1043.4852499778658,73670.16436891635,-159.5862573669965,-1.6735015579303347
2009-04-01,10605.76686866897,1319.189883162195,2793.373731980779,80.514,5988364.571,pakistan,PAK,-1474.1838488185842,74376.68692401322,1229.284479385813,13.11029476033383
2009-05-01,11079.987880933599,1460.118385298901,2556.9011811257883,80.9864,6201343.278,pakistan,PAK,-1096.7827958268872,76572.65019805795,474.22101226462837,4.471350522191364
2009-06-01,11484.783819328319,1519.077770504091,3332.845207318562,81.3896,6348334.765,pakistan,PAK,-1813.7674368144712,77999.33609453787,404.79593839472,3.6533969418079515
2009-07-01,11192.597426872,1463.101225658843,2631.1256075411693,83.2423,6347058.521673,pakistan,PAK,-1168.0243818823262,76247.99557043715,-292.1863924563186,-2.544117477984942
2009-08-01,13897.63657173069,1460.033050992615,2524.2666418985264,83.1036,6349481.58,pakistan,PAK,-1064.2335909059113,76404.41063925029,2705.0391448586906,24.168108989288186
2009-09-01,13943.61407979574,1506.197105838356,2416.395113464977,83.1765,6475409.98406,pakistan,PAK,-910.1980076266209,77851.43621167036,45.97750806504882,0.3308296905573993
2009-10-01,13870.251963633471,1575.666228116507,2968.4440632472556,83.652,6513625.119507,pakistan,PAK,-1392.7778351307486,77865.74283348874,-73.36211616226865,-0.5261341553376098
2009-11-01,13474.095202041071,1514.420248189266,2522.353889059566,83.6542,6668658.832865,pakistan,PAK,-1007.9336408703,79716.96379697612,-396.15676159239956,-2.856161248051492
2009-12-01,13606.125133560341,1563.8397210803969,2903.324544782382,84.2634,6814495.8173639905,pakistan,PAK,-1339.484823701985,80871.3607255818,132.02993151926967,0.9798797584513741
2010-01-01,14416.783659288709,1682.347671267187,3316.020632636521,84.7339,6774853.69604099,pakistan,PAK,-1633.672961369334,79954.46563938388,810.6585257283677,5.958041086428256
2010-02-01,14524.20363913322,1517.131763698026,2502.222126774254,85.0305,6812565.890643519,pakistan,PAK,-985.090363076228,80119.0853945763,107.41997984451154,0.7451036401957767
2010-03-01,14407.31105633691,1767.634926612523,3283.403428617445,84.1799,6842767.874200519,pakistan,PAK,-1515.768502004922,81287.4317289581,-116.89258279631031,-0.8048123373963212
2010-04-01,14993.56938164824,1699.738705122313,3013.848271329477,84.0056,6938775.42498291,pakistan,PAK,-1314.109566207164,82598.96274751815,586.2583253113298,4.069172401559773
2010-05-01,15899.57200617375,1735.294612259414,3361.4134922449753,85.0652,7053532.1411,pakistan,PAK,-1626.1188799855613,82919.12722358848,906.0026245255103,6.0426080105677515
2010-06-01,15880.02934452956,1778.8766066974931,3221.106624013086,85.4634,7218679.5507,pakistan,PAK,-1442.2300173155927,84465.15760781808,-19.542661644190957,-0.12291313021887129
2010-07-01,16284.054247519809,1724.4180063557342,3235.437984858398,85.663,7129968.00182363,pakistan,PAK,-1511.019978502664,83232.76095658138,404.02490299024976,2.5442327229038275
2010-08-01,16145.930883750521,1736.9937859780669,3007.563389093014,85.6366,7175828.366,pakistan,PAK,-1270.569603114947,83793.94284686688,-138.1233637692876,-0.8482123780097606
2010-09-01,16879.27649772859,1591.327234586279,2777.615921037765,86.2851,7302170.751592309,pakistan,PAK,-1186.288686451486,84628.40921077115,733.3456139780701,4.541984102732166
2010-10-01,17256.561370535543,1936.452638995138,3193.649088867135,85.871,7386377.6965399,pakistan,PAK,-1257.1964498719972,86017.13845815118,377.28487280695117,2.2351957612503304
2010-11-01,17195.70353895185,1723.648902770056,3122.392484547209,85.7669,7581151.50420658,pakistan,PAK,-1398.7435817771527,88392.50928046343,-60.85783158369304,-0.3526648807774868
2010-12-01,17255.57003957027,2092.440255091929,3748.104893148193,85.7108,7807082.7269,pakistan,PAK,-1655.6646380562638,91086.33599149698,59.866500618420105,0.34814801547846663
2011-01-01,18437.80021670756,2305.2946856748326,3441.6125258905413,85.6993,7811175.00001109,pakistan,PAK,-1136.3178402157087,91146.3104134,1182.2301771372913,6.85129598399945
2011-02-01,18882.192632006518,2139.547925071877,3050.763404908155,85.6697,7876688.99989862,pakistan,PAK,-911.2154798362776,91942.53043840027,444.3924152989566,2.4102247018398026
2011-03-01,19544.47653417397,2461.362376028945,3414.17532171001,85.3113,7911049.0,pakistan,PAK,-952.8129456810648,92731.54904449938,662.2839021674517,3.507452312740611
2011-04-01,19059.983022328703,2364.138216941922,3245.14668660362,84.6587,7969826.582949,pakistan,PAK,-881.0084696616977,94140.66815281833,-484.49351184526677,-2.478928054164653
2011-05-01,19318.28263837042,2295.502440500699,4286.313594662219,85.9064,8147434.637979,pakistan,PAK,-1990.8111541615199,94840.83418673114,258.29961604171694,1.355193316484704
2011-06-01,19361.401720681788,2420.295615162129,3859.7956157445533,85.9894,8394739.216,pakistan,PAK,-1439.5000005824245,97625.2795809716,43.1190823113684,0.22320349649365134
2011-07-01,20169.79251279719,2155.8476137593916,3686.347188599202,86.5135,8269084.75363,pakistan,PAK,-1530.4995748398105,95581.43819900941,808.3907921154023,4.175269971553153
2011-08-01,20264.762483423987,1943.554646951627,3802.501268713524,87.2463,8406764.963524,pakistan,PAK,-1858.946621761897,96356.69321821097,94.96997062679657,0.47085249174745325
2011-09-01,19091.81775678971,1830.0747388765521,3618.686775228226,87.5023,8365050.698758,pakistan,PAK,-1788.6120363516739,95598.06655091351,-1172.9447266342759,-5.788100046046496
2011-10-01,18864.97296547238,1879.207786058101,3604.927879200246,86.5602,8469093.421806,pakistan,PAK,-1725.720093142145,97840.50200676524,-226.8447913173295,-1.188178067730905
2011-11-01,18509.37030644082,1531.55510637002,3689.364239034632,88.3754,8568086.50915161,pakistan,PAK,-2157.809132664612,96951.03512008557,-355.60265903156323,-1.8849889670258468
2011-12-01,17697.925812377573,1851.7025210403408,4255.264416923488,89.9679,8790979.83928622,pakistan,PAK,-2403.5618958831474,97712.40452746168,-811.4444940632457,-4.383965962261193
2012-01-01,17659.429343643922,1912.520656077555,3642.370412944365,90.3818,8795859.93432283,pakistan,PAK,-1729.84975686681,97318.92852679224,-38.496468733650545,-0.21751966383951604
