date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,usd_lcy,m2_lcy_m,country,country_code,trade_balance_usd_m,m2_usd_m,reserve_change_usd_m,reserve_change_pct
2009-07-01,31984.398354094108,1857.0,4189.0,5.5377,835744.7607,egypt,EGY,-2332.0,150919.11094858876,319.7245317650304,1.0097199597223439
2009-08-01,33351.41890668771,1962.0,4387.0,5.517,836792.9498,egypt,EGY,-2425.0,151675.3579481602,1367.0205525935999,4.274023032916041
2009-09-01,34061.08314058311,1836.0,3402.0,5.4897,848100.3561,egypt,EGY,-1566.0,154489.38122301764,709.6642338954043,2.1278382064671364
2009-10-01,34682.24194602639,1912.0,4142.0,5.4586,848050.4193,egypt,EGY,-2230.0,155360.42562195435,621.1588054432796,1.8236613406553248
2009-11-01,35096.04774536912,1993.0,3567.0,5.4585,854351.75330502,egypt,EGY,-1574.0,156517.67945498214,413.8057993427283,1.1931345153139317
2009-12-01,34896.678266342,3063.0,4495.0,5.4754,866650.8023,egypt,EGY,-1432.0,158280.82008620375,-199.36947902711836,-0.5680681781424335
2010-01-01,34919.258629114534,1985.0,4123.0,5.4566,868032.5526605699,egypt,EGY,-2138.0,159079.38142076932,22.58036277253268,0.06470633852366792
2010-02-01,35100.78090000161,2049.0,3631.0,5.4756,875886.39441524,egypt,EGY,-1582.0,159961.72006999052,181.52227088707878,0.5198342634219921
2010-03-01,35310.57073528179,2376.0,4499.0,5.4913,888477.31715049,egypt,EGY,-2123.0,161797.2642453499,209.78983528017852,0.5976785413345898
2010-04-01,35609.65779297315,2254.0,4058.0,5.5436,890678.60759848,egypt,EGY,-1804.0,160667.90670295115,299.0870576913585,0.8470184748175624
2010-05-01,36135.91363670709,2457.0,4147.0,5.6468,896336.5515546801,egypt,EGY,-1690.0,158733.53962504075,526.2558437339394,1.4778458327049382
2010-06-01,35845.6248358721,2342.0,4025.0,5.6807,917764.845014,egypt,EGY,-1683.0,161558.40741704367,-290.288800834991,-0.8033249242108909
2010-07-01,35713.32418840219,2208.0,4960.0,5.6896,922943.76316308,egypt,EGY,-2752.0,162215.931377088,-132.30064746990683,-0.36908450633983403
2010-08-01,36156.08359518597,2133.0,4738.0,5.6931,935542.87979659,egypt,EGY,-2605.0,164329.25467611494,442.7594067837781,1.2397597167041807
2010-09-01,36320.90205655186,2177.0,4105.0,5.6832,948482.8816555601,egypt,EGY,-1928.0,166892.3989399564,164.81846136588865,0.45585263938219267
2010-10-01,36424.27975726244,2243.0,5213.0,5.763,961555.965827297,egypt,EGY,-2970.0,166849.89863392277,103.37770071058185,0.284623164230946
2010-11-01,36516.92268898878,2156.0,4440.0,5.776,963567.39243969,egypt,EGY,-2284.0,166822.60949440615,92.64293172633916,0.25434389463216966
2010-12-01,37028.50613455592,2929.0,5007.0,5.7926,974275.9478004599,egypt,EGY,-2078.0,168193.20301772258,511.5834455671429,1.4009489515977247
2011-01-01,35822.29337137221,2158.0,4758.0,5.8399,970029.07639461,egypt,EGY,-2600.0,166103.7134873217,-1206.2127631837138,-3.257524780504295
2011-02-01,34327.04537956701,2370.0,3335.0,5.8795,982865.49530641,egypt,EGY,-965.0,167168.21078432008,-1495.2479918051977,-4.174071091160625
2011-03-01,31173.75330692834,2847.0,4674.0,5.9539,988395.58777516,egypt,EGY,-1827.0,166008.0934807706,-3153.292072638669,-9.186028211200636
2011-04-01,29327.362189622138,2946.0,4579.0,5.9351,988140.5472301,egypt,EGY,-1633.0,166490.96851444794,-1846.3911173062043,-5.922902831517063
2011-05-01,28499.13170898143,2918.0,5816.0,5.9304,995612.61281562,egypt,EGY,-2898.0,167882.87684062123,-828.2304806407083,-2.824087878362913
2011-06-01,27171.49310632977,2978.0,4969.0,5.9558,1010619.96779131,egypt,EGY,-1991.0,169686.68655618222,-1327.6386026516593,-4.6585229901346725
2011-07-01,26635.06328032943,2723.0,5121.0,5.9442,1019253.67763016,egypt,EGY,-2398.0,171470.2866037751,-536.4298260003416,-1.974237572816262
2011-08-01,26383.110128913762,2349.0,5846.0,5.9401,1024688.6290086,egypt,EGY,-3497.0,172503.59909910607,-251.95315141566607,-0.945945383211233
2011-09-01,24894.60320691987,2417.0,5974.0,5.9525,1024763.43612934,egypt,EGY,-3557.0,172156.81413344646,-1488.5069219938923,-5.641893297343326
2011-10-01,23054.45526201004,2608.0,6115.0,5.9561,1031269.16084395,egypt,EGY,-3507.0,173145.03800203992,-1840.1479449098297,-7.391754468287049
2011-11-01,21114.55147500908,2510.0,5289.0,5.9914,1032032.65930976,egypt,EGY,-2779.0,172252.33823643223,-1939.9037870009597,-8.41444208919394
2011-12-01,18637.54111047773,2748.0,5768.0,6.0169,1039210.32647927,egypt,EGY,-3020.0,172715.23982104906,-2477.01036453135,-11.731295203988157
2012-01-01,17374.66120494486,2362.0,5605.0,6.0183,1044218.70524296,egypt,EGY,-3243.0,173507.2537498895,-1262.879905532871,-6.77600064325492
