date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,usd_lkr,trade_balance_usd_m,m2_usd_m,tourism_usd_m,cse_net_usd_m,target_diff1,target_log,target_log_diff1,target_pct_change,split
2017-03-01,5117.259154753076,1041.818219027803,1869.3224849354765,643.058386094087,151.5048,-827.5042659076735,33637.239286488875,348.791831976,36.743060956141385,-517.3995239854858,8.54037425336064,-0.09631759962626951,-9.182446594996186,train
2017-04-01,5048.0818935876005,794.6621201873861,1603.8822114429377,487.94389290657216,151.862,-809.2200912555516,33891.321839657794,297.185936974,71.09462472106453,-69.1772611654751,8.5267636270664,-0.013610626294241257,-1.3518420520332808,train
2017-05-01,6759.704093553758,841.2448575017796,1724.7493989305217,600.7025576092499,152.3909,-883.5045414287421,34217.14110974737,226.050028666,34.66303835557517,1711.6221999661575,8.818734394936003,0.2919707678696035,33.90638733774052,train
2017-06-01,6959.025226455214,987.3032456286518,1540.9314766078398,590.8851105181104,152.8082,-553.6282309791881,34562.39323256475,228.757636626,38.23533438037335,199.3211329014557,8.847794689849806,0.02906029491380302,2.9486665413584356,train
2017-07-01,6710.485696665525,1015.1819586445046,1591.1295797476996,629.2901463776334,153.5875,-575.947621103195,34944.267918925696,381.071711532,23.43042304561097,-248.53952978968846,8.811426611349935,-0.036368078499871004,-3.5714704531440433,train
2017-08-01,7693.548007249217,1000.642691482216,1856.9005983045893,599.8838418158387,153.0978,-856.2579068223735,35422.04080438883,354.08094012799995,75.53302821188832,983.0623105836921,8.948137335453167,0.13671072410323148,14.64964467582699,train
2017-09-01,7279.835590729757,1011.0255494559292,1666.6539924369974,537.7758451288071,152.8125,-655.6284429810682,36012.429372179366,269.04906850199995,-62.15140638866684,-413.71241651946,8.892863557244748,-0.05527377820841828,-5.377394358618948,train
2017-10-01,7500.7921236637585,975.579814448642,1727.2388159062466,546.2579003477305,153.4905,-751.6590014576046,36044.6160065135,282.68354365399995,12.8089110817792,220.9565329340012,8.922763910435874,0.029900353191125717,3.0351857563290396,train
2017-11-01,7335.117235752753,940.93201101918,1940.383346169578,588.3876285496235,153.5925,-999.451335150398,36134.23489087162,310.653504786,-11.446133917611398,-165.6748879110055,8.900428673510397,-0.022335236925476565,-2.208765223453246,train
2017-12-01,7958.65303040954,1019.5029136734678,2048.499456865169,671.3964371688033,153.1085,-1028.9965431917012,37001.951045573565,453.498369936,11.094075232836587,623.5357946567874,8.982015047234334,0.08158637372393684,8.500692962582178,train
2018-01-01,7669.98,965.3701425744972,2014.4907176540169,729.3548966460536,153.7452,-1049.1205750795198,37328.0836288515,448.4699049600001,36.84711468572343,-288.67303040954084,8.945069286795972,-0.036945760438362285,-3.62715938622451,train
