date,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m,usd_lkr,scenario
2026-02-01,1194.147785611592,1582.1202697460349,533.2141235641061,362.060824032,296.7525960057299,Remittance Decline (-20%)
2026-03-01,1194.14818582702,1582.1393060704295,521.3669645964171,362.060824032,296.75259703880903,Remittance Decline (-20%)
2025-04-01,1178.1420673169243,1556.3203008879102,635.0009151152337,362.060824032,296.62319860627235,Tourism Recovery (+25%)
2025-05-01,1199.5367609808293,1594.2098151662785,658.4173522508096,370.2894791236364,296.71100740447133,Tourism Recovery (+25%)
2025-06-01,1192.333903066037,1576.4832152138006,649.0135581334953,378.51813421527277,296.73923004127886,Tourism Recovery (+25%)
2025-07-01,1194.7588577279594,1584.7766006493218,652.7900226438236,386.7467893069091,296.74830108250376,Tourism Recovery (+25%)
2025-08-01,1193.9424588510217,1580.8965423095103,651.2734343370347,394.97544439854545,296.75121660699796,Tourism Recovery (+25%)
2025-09-01,1194.2173122892038,1582.7118266511568,651.882480201493,403.2040994901819,296.75215368609014,Tourism Recovery (+25%)
2025-10-01,1194.1247785846451,1581.8625463176072,651.6378938075762,411.4327545818182,296.7524548727983,Tourism Recovery (+25%)
2025-11-01,1194.1559315021273,1582.2598819131426,651.7361171230607,419.6614096734546,296.75255167725584,Tourism Recovery (+25%)
2025-12-01,1194.1454433856916,1582.0739885523255,651.6966716757885,427.890064765091,296.7525827911886,Tourism Recovery (+25%)
2026-01-01,1194.148974373967,1582.1609587155433,651.7125125512755,436.1187198567273,296.75259279152164,Tourism Recovery (+25%)
2026-02-01,1194.147785611592,1582.1202697460349,651.7061510227963,444.34737494836367,296.7525960057299,Tourism Recovery (+25%)
2026-03-01,1194.14818582702,1582.1393060704295,651.7087057455213,452.57603004000003,296.75259703880903,Tourism Recovery (+25%)
2025-04-01,1178.1420673169243,1556.3203008879102,635.0009151152337,362.060824032,296.62319860627235,Oil Price Shock
2025-05-01,1199.5367609808293,1615.949039918546,658.4173522508096,362.060824032,296.71100740447133,Oil Price Shock
2025-06-01,1192.333903066037,1619.4782119923589,649.0135581334953,362.060824032,296.73923004127886,Oil Price Shock
2025-07-01,1194.7588577279594,1649.6083706758848,652.7900226438236,362.060824032,296.74830108250376,Oil Price Shock
2025-08-01,1193.9424588510217,1667.1272627991198,651.2734343370347,362.060824032,296.75121660699796,Oil Price Shock
2025-09-01,1194.2173122892038,1690.6239966500991,651.882480201493,362.060824032,296.75215368609014,Oil Price Shock
2025-10-01,1194.1247785846451,1711.2876637435932,651.6378938075762,362.060824032,296.7524548727983,Oil Price Shock
2025-11-01,1194.1559315021273,1733.2937797321244,651.7361171230607,362.060824032,296.75255167725584,Oil Price Shock
2025-12-01,1194.1454433856916,1754.6638782125792,651.6966716757885,362.060824032,296.7525827911886,Oil Price Shock
2026-01-01,1194.148974373967,1776.3352581942688,651.7125125512755,362.060824032,296.75259279152164,Oil Price Shock
